logger_serial,date_time_start,date_time_stop,notes
20635546,7/11/2019 9:45,7/11/2019 12:30,pre-deployment
20635546,8/19/2019 11:00,8/23/2019 10:30,exposure to air; from low water?
20012612,5/30/2019 12:45,5/31/2019 12:45,pre-deployment
20012612,8/19/2019 10:00,8/23/2019 10:30,exposure to air; from low water?
20861209,6/1/2020 9:00,6/4/2020 8:30,pre-deployment
20861215,6/1/2020 9:00,6/4/2020 10:00,pre-deployment
,,, 
,,,
,,, 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
, ,,
